Country,Year,TemperatureChange
American Samoa,2019,1.209
American Samoa,2020,1.101
American Samoa,2021,0.938
American Samoa,2022,0.925
American Samoa,2023,0.951
Americas,1961,0.053
Americas,1962,-0.084
Americas,1963,0.264
Americas,1964,-0.244
Americas,1965,-0.3
Americas,1966,-0.104
Americas,1967,-0.113
Americas,1968,-0.003
Americas,1969,0.098
Americas,1970,0.156
Americas,1971,-0.239
Americas,1972,-0.454
Americas,1973,0.164
Americas,1974,-0.283
Americas,1975,-0.123
Americas,1976,-0.136
Americas,1977,0.505
Americas,1978,-0.072
Americas,1979,-0.072
Americas,1980,0.506
Americas,1981,0.697
Americas,1982,-0.093
Americas,1983,0.451
Americas,1984,0.072
Americas,1985,-0.009
Americas,1986,0.287
Americas,1987,0.836
Americas,1988,0.56
Americas,1989,0.174
Americas,1990,0.367
Americas,1991,0.419
Americas,1992,0.252
Americas,1993,0.268
Americas,1994,0.503
Americas,1995,0.711
Americas,1996,0.186
Americas,1997,0.567
Americas,1998,1.417
Americas,1999,0.797
Americas,2000,0.725
Americas,2001,0.851
Americas,2002,0.777
Americas,2003,0.981
Americas,2004,0.679
Americas,2005,1.039
Americas,2006,1.223
Americas,2007,0.923
Americas,2008,0.571
Americas,2009,0.681
Americas,2010,1.313
Americas,2011,0.865
Americas,2012,1.348
Americas,2013,0.846
Americas,2014,0.724
Americas,2015,1.352
Americas,2016,1.766
Americas,2017,1.353
Americas,2018,0.949
Americas,2019,1.229
Americas,2020,1.303
Americas,2021,1.558
Americas,2022,1.075
Americas,2023,1.772
Andorra,1961,0.756
Andorra,1962,0.12
Andorra,1963,-0.744
Andorra,1964,0.315
Andorra,1965,-0.489
Andorra,1966,0.414
Andorra,1967,0.636
Andorra,1968,0.005
Andorra,1969,-0.158
Andorra,1970,0.106
Andorra,1971,-0.333
Andorra,1972,-0.479
Andorra,1973,-0.003
Andorra,1974,-0.383
Andorra,1975,0.223
Andorra,1976,-0.062
Andorra,1977,-0.109
Andorra,1978,-0.179
Andorra,1979,0.034
Andorra,1980,-0.215
Andorra,1981,0.145
Andorra,1982,1.02
Andorra,1983,0.82
Andorra,1984,-0.199
Andorra,1985,0.012
Andorra,1986,0.35
Andorra,1987,0.371
Andorra,1988,0.852
Andorra,1989,1.147
Andorra,1990,1.712
Andorra,1991,0.192
Andorra,1992,0.349
Andorra,1993,0.146
Andorra,1994,1.478
Andorra,1995,1.267
Andorra,1996,0.563
Andorra,1997,1.761
Andorra,1998,0.999
Andorra,1999,1.037
Andorra,2000,1.036
Andorra,2001,1.486
Andorra,2002,0.843
Andorra,2003,1.966
Andorra,2004,0.944
Andorra,2005,0.865
Andorra,2006,1.495
Andorra,2007,1.018
Andorra,2008,0.932
Andorra,2009,1.4
Andorra,2010,0.459
Andorra,2011,1.666
Andorra,2012,1.252
Andorra,2013,0.815
Andorra,2014,1.917
Andorra,2015,1.631
Andorra,2016,1.918
Andorra,2017,1.854
Andorra,2018,1.835
Andorra,2019,1.884
Andorra,2020,2.48
Andorra,2021,1.45
Andorra,2022,3.155
Andorra,2023,2.786
Angola,1961,0.06
Angola,1962,-0.132
Angola,1963,-0.171
Angola,1964,-0.21
Angola,1965,-0.173
Angola,1966,0.198
Angola,1967,-0.086
Angola,1968,-0.202
Angola,1969,0.173
Angola,1970,0.246
Angola,1971,-0.075
Angola,1972,-0.012
Angola,1973,0.45
Angola,1974,-0.201
Angola,1975,-0.075
Angola,1976,-0.339
Angola,1977,0.221
Angola,1978,0.07
Angola,1979,0.324
Angola,1980,0.31
Angola,1981,-0.064
Angola,1982,0.137
Angola,1983,0.479
Angola,1984,0.642
Angola,1985,0.696
Angola,1986,0.173
Angola,1987,0.711
Angola,1988,0.581
Angola,1989,0.001
Angola,1990,0.693
Angola,1991,0.306
Angola,1992,0.456
Angola,1993,0.248
Angola,1994,0.322
Angola,1995,0.757
Angola,1996,0.383
Angola,1997,0.235
Angola,1998,1.129
Angola,1999,0.392
Angola,2000,0.205
Angola,2001,0.29
Angola,2002,0.717
Angola,2003,0.912
Angola,2004,0.348
Angola,2005,1.085
Angola,2006,0.455
Angola,2007,0.777
Angola,2008,0.42
Angola,2009,0.636
Angola,2010,1.167
Angola,2011,0.844
Angola,2012,0.558
Angola,2013,1.005
Angola,2014,0.792
Angola,2015,1.326
Angola,2016,1.692
Angola,2017,0.943
Angola,2018,1.306
Angola,2019,1.785
Angola,2020,1.108
Angola,2021,1.401
Angola,2022,1.136
Angola,2023,1.175
Anguilla,1961,0.058
Anguilla,1962,-0.034
Anguilla,1963,0.242
Anguilla,1964,0.051
Anguilla,1965,-0.317
Anguilla,1966,0.126
Anguilla,1967,-0.136
Anguilla,1968,-0.255
Anguilla,1969,0.309
Anguilla,1970,0.209
Anguilla,1971,-0.185
Anguilla,1972,-0.073
Anguilla,1973,0.31
Anguilla,1974,-0.229
Anguilla,1975,-0.254
Anguilla,1976,-0.284
Anguilla,1977,0.287
Anguilla,1978,0.36
Anguilla,1979,0.321
Anguilla,1980,0.726
Anguilla,1981,0.748
Anguilla,1982,0.41
Anguilla,1983,0.701
Anguilla,1984,0.11
Anguilla,1985,0.111
Anguilla,1986,0.186
Anguilla,1987,0.803
Anguilla,1988,0.561
Anguilla,1989,0.027
Anguilla,1990,0.477
Anguilla,1991,0.575
Anguilla,1992,0.512
Anguilla,1993,0.635
Anguilla,1994,0.607
Anguilla,1995,0.775
Anguilla,1996,0.52
Anguilla,1997,0.734
Anguilla,1998,1.248
Anguilla,1999,0.66
Anguilla,2000,0.499
Anguilla,2001,NaN
Anguilla,2002,0.699
Anguilla,2003,0.977
Anguilla,2004,0.609
Anguilla,2005,1.007
Anguilla,2006,0.75
Anguilla,2007,0.887
Anguilla,2008,0.3
Anguilla,2009,0.521
Anguilla,2010,1.294
Anguilla,2011,0.581
Anguilla,2012,0.684
Anguilla,2013,0.702
Anguilla,2014,0.708
Anguilla,2015,1.002
Anguilla,2016,1.174
Anguilla,2017,0.925
Anguilla,2018,0.788
Anguilla,2019,0.879
Anguilla,2020,1.179
Anguilla,2021,0.879
Anguilla,2022,0.787
Anguilla,2023,1.116
Antarctica,1961,0.28
Antarctica,1962,-0.228
Antarctica,1963,0.135
Antarctica,1964,-0.366
Antarctica,1965,-0.099
Antarctica,1966,-0.24
Antarctica,1967,0.133
Antarctica,1968,-0.087
Antarctica,1969,-0.255
Antarctica,1970,-0.133
Antarctica,1971,0.281
Antarctica,1972,0.621
Antarctica,1973,0.011
Antarctica,1974,0.169
Antarctica,1975,0.177
Antarctica,1976,-0.634
Antarctica,1977,0.25
Antarctica,1978,-0.118
Antarctica,1979,-0.234
Antarctica,1980,0.565
Antarctica,1981,0.706
Antarctica,1982,-0.031
Antarctica,1983,-0.693
Antarctica,1984,0.124
Antarctica,1985,0.177
Antarctica,1986,-0.271
Antarctica,1987,-0.701
Antarctica,1988,0.952
Antarctica,1989,-0.441
Antarctica,1990,0.285
Antarctica,1991,0.674
Antarctica,1992,0.33
Antarctica,1993,-0.722
Antarctica,1994,-0.069
Antarctica,1995,-0.242
Antarctica,1996,0.806
Antarctica,1997,-0.513
Antarctica,1998,-0.398
Antarctica,1999,-0.551
Antarctica,2000,-0.793
Antarctica,2001,-0.068
Antarctica,2002,1.327
Antarctica,2003,-0.455
Antarctica,2004,0.154
Antarctica,2005,0.858
Antarctica,2006,-0.03
Antarctica,2007,0.682
Antarctica,2008,0.567
Antarctica,2009,1.32
Antarctica,2010,0.849
Antarctica,2011,0.771
Antarctica,2012,-0.204
Antarctica,2013,1.744
Antarctica,2014,0.57
Antarctica,2015,-0.02
Antarctica,2016,0.234
Antarctica,2017,0.788
Antarctica,2018,1.451
Antarctica,2019,0.64
Antarctica,2020,0.798
Antarctica,2021,-0.569
Antarctica,2022,0.48
Antarctica,2023,0.48
Antigua and Barbuda,1961,0.065
Antigua and Barbuda,1962,-0.08
Antigua and Barbuda,1963,0.183
Antigua and Barbuda,1964,0.057
Antigua and Barbuda,1965,-0.441
Antigua and Barbuda,1966,0.158
Antigua and Barbuda,1967,-0.136
Antigua and Barbuda,1968,-0.255
Antigua and Barbuda,1969,0.309
Antigua and Barbuda,1970,0.209
Antigua and Barbuda,1971,-0.185
Antigua and Barbuda,1972,-0.073
Antigua and Barbuda,1973,0.31
Antigua and Barbuda,1974,-0.229
Antigua and Barbuda,1975,-0.254
Antigua and Barbuda,1976,-0.284
Antigua and Barbuda,1977,0.287
Antigua and Barbuda,1978,0.36
Antigua and Barbuda,1979,0.321
Antigua and Barbuda,1980,0.726
Antigua and Barbuda,1981,0.748
Antigua and Barbuda,1982,0.41
Antigua and Barbuda,1983,0.701
Antigua and Barbuda,1984,0.11
Antigua and Barbuda,1985,0.111
Antigua and Barbuda,1986,0.186
Antigua and Barbuda,1987,0.803
Antigua and Barbuda,1988,0.561
Antigua and Barbuda,1989,0.027
Antigua and Barbuda,1990,0.477
Antigua and Barbuda,1991,0.575
Antigua and Barbuda,1992,0.512
Antigua and Barbuda,1993,0.635
Antigua and Barbuda,1994,0.607
Antigua and Barbuda,1995,0.775
Antigua and Barbuda,1996,0.52
Antigua and Barbuda,1997,0.734
Antigua and Barbuda,1998,1.248
Antigua and Barbuda,1999,0.66
Antigua and Barbuda,2000,0.499
Antigua and Barbuda,2001,NaN
Antigua and Barbuda,2002,0.699
Antigua and Barbuda,2003,0.977
Antigua and Barbuda,2004,0.609
Antigua and Barbuda,2005,1.007
Antigua and Barbuda,2006,0.75
Antigua and Barbuda,2007,0.887
Antigua and Barbuda,2008,0.3
Antigua and Barbuda,2009,0.521
Antigua and Barbuda,2010,1.294
Antigua and Barbuda,2011,0.581
Antigua and Barbuda,2012,0.684
Antigua and Barbuda,2013,0.702
Antigua and Barbuda,2014,0.708
Antigua and Barbuda,2015,1.002
Antigua and Barbuda,2016,1.174
Antigua and Barbuda,2017,0.925
Antigua and Barbuda,2018,0.788
Antigua and Barbuda,2019,0.879
Antigua and Barbuda,2020,1.179
Antigua and Barbuda,2021,0.879
Antigua and Barbuda,2022,0.787
Antigua and Barbuda,2023,1.116
Argentina,1961,0.122
Argentina,1962,-0.06
Argentina,1963,0.165
Argentina,1964,-0.345
Argentina,1965,0.092
Argentina,1966,-0.164
Argentina,1967,-0.001
Argentina,1968,0.479
Argentina,1969,0.297
Argentina,1970,0.437
Argentina,1971,-0.265
Argentina,1972,-0.011
Argentina,1973,-0.141
Argentina,1974,-0.132
Argentina,1975,-0.056
Argentina,1976,-0.35
Argentina,1977,0.405
Argentina,1978,0.332
Argentina,1979,0.246
Argentina,1980,0.351
Argentina,1981,0.354
Argentina,1982,0.342
Argentina,1983,0.031
Argentina,1984,-0.104
Argentina,1985,0.303
Argentina,1986,0.446
Argentina,1987,0.417
Argentina,1988,-0.234
Argentina,1989,0.572
Argentina,1990,0.404
Argentina,1991,0.226
Argentina,1992,-0.297
Argentina,1993,0.039
Argentina,1994,0.44
Argentina,1995,0.203
Argentina,1996,0.457
Argentina,1997,0.699
Argentina,1998,0.284
Argentina,1999,0.098
Argentina,2000,-0.249
Argentina,2001,0.357
Argentina,2002,0.208
Argentina,2003,0.584
Argentina,2004,0.404
Argentina,2005,0.197
Argentina,2006,0.509
Argentina,2007,-0.261
Argentina,2008,0.504
Argentina,2009,0.751
Argentina,2010,0.045
Argentina,2011,0.284
Argentina,2012,0.736
Argentina,2013,0.419
Argentina,2014,0.937
Argentina,2015,0.931
Argentina,2016,0.48
Argentina,2017,1.076
Argentina,2018,0.86
Argentina,2019,0.751
Argentina,2020,1.104
Argentina,2021,1.009
Argentina,2022,0.628
Argentina,2023,1.519
Armenia,1961,NaN
Armenia,1962,NaN
Armenia,1963,NaN
Armenia,1964,NaN
Armenia,1965,NaN
Armenia,1966,NaN
Armenia,1967,NaN
Armenia,1968,NaN
Armenia,1969,NaN
Armenia,1970,NaN
Armenia,1971,NaN
Armenia,1972,NaN
Armenia,1973,NaN
Armenia,1974,NaN
Armenia,1975,NaN
Armenia,1976,NaN
Armenia,1977,NaN
Armenia,1978,NaN
Armenia,1979,NaN
Armenia,1980,NaN
Armenia,1981,NaN
Armenia,1982,NaN
Armenia,1983,NaN
Armenia,1984,NaN
Armenia,1985,NaN
Armenia,1986,NaN
Armenia,1987,NaN
Armenia,1988,NaN
Armenia,1989,NaN
Armenia,1990,NaN
Armenia,1991,NaN
Armenia,1992,-1.305
Armenia,1993,-0.936
Armenia,1994,0.477
Armenia,1995,0.694
Armenia,1996,0.474
Armenia,1997,0.725
Armenia,1998,1.349
Armenia,1999,1.556
Armenia,2000,1.1
Armenia,2001,1.469
Armenia,2002,1.199
Armenia,2003,0.175
Armenia,2004,1.142
Armenia,2005,0.549
Armenia,2006,1.635
Armenia,2007,0.744
Armenia,2008,0.875
Armenia,2009,0.692
Armenia,2010,2.772
Armenia,2011,0.655
Armenia,2012,1.285
Armenia,2013,1.355
Armenia,2014,1.236
Armenia,2015,1.896
Armenia,2016,1.331
Armenia,2017,0.883
Armenia,2018,2.739
Armenia,2019,1.864
Armenia,2020,1.954
Armenia,2021,2.183
Armenia,2022,1.845
Armenia,2023,2.258
Aruba,1961,-0.237
Aruba,1962,0.1
Aruba,1963,0.02
Aruba,1964,0.212
Aruba,1965,-0.43
Aruba,1966,0.13
Aruba,1967,-0.268
Aruba,1968,-0.062
Aruba,1969,0.531
Aruba,1970,0.303
Aruba,1971,-0.24
Aruba,1972,0.073
Aruba,1973,0.301
Aruba,1974,-0.437
Aruba,1975,-0.197
Aruba,1976,-0.416
Aruba,1977,0.28
Aruba,1978,0.519
Aruba,1979,NaN
Aruba,1980,0.63
Aruba,1981,0.383
Aruba,1982,0.405
Aruba,1983,0.73
Aruba,1984,0.203
Aruba,1985,-0.186
Aruba,1986,-0.151
Aruba,1987,0.709
Aruba,1988,0.429
Aruba,1989,-0.124
Aruba,1990,0.183
Aruba,1991,0.417
Aruba,1992,0.59
Aruba,1993,NaN
Aruba,1994,0.404
Aruba,1995,0.679
Aruba,1996,0.854
Aruba,1997,0.611
Aruba,1998,1.28
Aruba,1999,0.383
Aruba,2000,0.097
Aruba,2001,0.708
Aruba,2002,0.863
Aruba,2003,0.917
Aruba,2004,0.458
Aruba,2005,0.598
Aruba,2006,0.632
Aruba,2007,0.894
Aruba,2008,0.16
Aruba,2009,0.429
Aruba,2010,1
Aruba,2011,0.298
Aruba,2012,0.564
Aruba,2013,1.031
Aruba,2014,0.818
Aruba,2015,1.657
Aruba,2016,0.995
Aruba,2017,1.157
Aruba,2018,0.664
Aruba,2019,0.986
Aruba,2020,1.285
Aruba,2021,NaN
Aruba,2022,NaN
Aruba,2023,NaN
Asia,1961,0.044
Asia,1962,-0.018
Asia,1963,0.27
Asia,1964,-0.171
Asia,1965,-0.028
Asia,1966,0.33
Asia,1967,-0.305
Asia,1968,-0.329
Asia,1969,-0.007
Asia,1970,0.078
Asia,1971,-0.123
Asia,1972,-0.165
Asia,1973,0.246
Asia,1974,-0.135
Asia,1975,0.016
Asia,1976,-0.329
Asia,1977,0.101
Asia,1978,0.161
Asia,1979,0.452
Asia,1980,0.281
Asia,1981,0.208
Asia,1982,0.129
Asia,1983,-0.002
Asia,1984,-0.115
Asia,1985,0.027
Asia,1986,0.066
Asia,1987,0.418
Asia,1988,0.437
Asia,1989,0.275
Asia,1990,0.536
Asia,1991,0.415
Asia,1992,-0.046
Asia,1993,0.097
Asia,1994,0.553
Asia,1995,0.645
Asia,1996,0.2
Asia,1997,0.629
Asia,1998,1.067
Asia,1999,1.116
Asia,2000,0.709
Asia,2001,1.046
Asia,2002,1.195
Asia,2003,0.677
Asia,2004,1.122
Asia,2005,0.896
Asia,2006,1.136
Asia,2007,1.215
Asia,2008,0.905
Asia,2009,1.104
Asia,2010,1.284
Asia,2011,0.727
Asia,2012,0.725
Asia,2013,1.081
Asia,2014,0.929
Asia,2015,1.305
Asia,2016,1.476
Asia,2017,1.48
Asia,2018,1.353
Asia,2019,1.388
Asia,2020,1.506
Asia,2021,1.54
Asia,2022,1.723
Asia,2023,1.778
Australia,1961,0.158
Australia,1962,0.132
Australia,1963,-0.097
Australia,1964,-0.015
Australia,1965,0.147
Australia,1966,-0.229
Australia,1967,-0.081
Australia,1968,-0.199
Australia,1969,0.11
Australia,1970,0.007
Australia,1971,-0.01
Australia,1972,0.103
Australia,1973,0.841
Australia,1974,-0.348
Australia,1975,0.053
Australia,1976,-0.52
Australia,1977,0.164
Australia,1978,0.058
Australia,1979,0.345
Australia,1980,0.843
Australia,1981,0.446
Australia,1982,0.138
Australia,1983,0.582
Australia,1984,-0.211
Australia,1985,0.294
Australia,1986,0.336
Australia,1987,0.312
Australia,1988,0.916
Australia,1989,0.1
Australia,1990,0.5
Australia,1991,0.763
Australia,1992,0.24
Australia,1993,0.436
Australia,1994,0.17
Australia,1995,0.358
Australia,1996,0.539
Australia,1997,0.321
Australia,1998,1.028
Australia,1999,0.516
Australia,2000,0.084
Australia,2001,0.275
Australia,2002,0.667
Australia,2003,0.775
Australia,2004,0.656
Australia,2005,1.126
Australia,2006,0.639
Australia,2007,0.855
Australia,2008,0.546
Australia,2009,0.95
Australia,2010,0.593
Australia,2011,0.135
Australia,2012,0.228
Australia,2013,1.413
Australia,2014,1.107
Australia,2015,0.996
Australia,2016,1.102
Australia,2017,1.079
Australia,2018,1.061
Australia,2019,1.346
Australia,2020,1.337
Australia,2021,0.569
Australia,2022,0.681
Australia,2023,0.86
Austria,1961,1.028
Austria,1962,-0.623
Austria,1963,-0.728
Austria,1964,-0.369
Austria,1965,-0.88
Austria,1966,0.609
Austria,1967,0.684
Austria,1968,0.218
Austria,1969,-0.12
Austria,1970,-0.544
Austria,1971,-0.054
Austria,1972,0.108
Austria,1973,-0.027
Austria,1974,0.318
Austria,1975,0.867
Austria,1976,0.222
Austria,1977,0.506
Austria,1978,-0.469
Austria,1979,-0.106
Austria,1980,-0.266
Austria,1981,0.286
Austria,1982,0.395
Austria,1983,1.073
Austria,1984,-0.239
Austria,1985,-0.562
Austria,1986,0.325
Austria,1987,-0.255
Austria,1988,0.828
Austria,1989,1.112
Austria,1990,1.271
Austria,1991,0.135
Austria,1992,1.256
Austria,1993,0.536
Austria,1994,1.967
Austria,1995,0.949
Austria,1996,-0.193
Austria,1997,0.524
Austria,1998,1.354
Austria,1999,0.992
Austria,2000,1.774
Austria,2001,1.508
Austria,2002,1.542
Austria,2003,1.474
Austria,2004,0.84
Austria,2005,0.638
Austria,2006,0.919
Austria,2007,2.151
Austria,2008,1.597
Austria,2009,1.554
Austria,2010,0.668
Austria,2011,1.384
Austria,2012,1.792
Austria,2013,1.105
Austria,2014,2.421
Austria,2015,2.175
Austria,2016,2.1
Austria,2017,1.746
Austria,2018,2.53
Austria,2019,2.375
Austria,2020,2.322
Austria,2021,1.41
Austria,2022,2.538
Austria,2023,2.572
Azerbaijan,1961,NaN
Azerbaijan,1962,NaN
Azerbaijan,1963,NaN
Azerbaijan,1964,NaN
Azerbaijan,1965,NaN
Azerbaijan,1966,NaN
Azerbaijan,1967,NaN
Azerbaijan,1968,NaN
Azerbaijan,1969,NaN
Azerbaijan,1970,NaN
Azerbaijan,1971,NaN
Azerbaijan,1972,NaN
Azerbaijan,1973,NaN
Azerbaijan,1974,NaN
Azerbaijan,1975,NaN
Azerbaijan,1976,NaN
Azerbaijan,1977,NaN
Azerbaijan,1978,NaN
Azerbaijan,1979,NaN
Azerbaijan,1980,NaN
Azerbaijan,1981,NaN
Azerbaijan,1982,NaN
Azerbaijan,1983,NaN
Azerbaijan,1984,NaN
Azerbaijan,1985,NaN
Azerbaijan,1986,NaN
Azerbaijan,1987,NaN
Azerbaijan,1988,NaN
Azerbaijan,1989,NaN
Azerbaijan,1990,NaN
Azerbaijan,1991,NaN
Azerbaijan,1992,-0.84
Azerbaijan,1993,-1.016
Azerbaijan,1994,0.093
Azerbaijan,1995,1.004
Azerbaijan,1996,0.233
Azerbaijan,1997,0.577
Azerbaijan,1998,1.177
Azerbaijan,1999,1.224
Azerbaijan,2000,1.088
Azerbaijan,2001,1.396
Azerbaijan,2002,1.43
Azerbaijan,2003,-0.104
